Ticker,Sector,Date Added
CSCO,Information Technology,12/1/1993
CSX,Industrials,9/30/1967
CTAS,Industrials,3/1/2001
CTL,Communication Services,3/25/1999
CTSH,Information Technology,11/17/2006
CTVA,Materials,6/3/2019
CTXS,Information Technology,12/1/1999
CVS,Health Care,
CVX,Energy,
CXO,Energy,2/22/2016
D,Utilities,
DAL,Industrials,9/11/2013
DD,Materials,
DE,Industrials,
DFS,Financials,7/2/2007
DG,Consumer Discretionary,12/3/2012
DGX,Health Care,12/12/2002
DHI,Consumer Discretionary,
DHR,Health Care,
DIS,Communication Services,6/30/1976
DISCA,Communication Services,3/1/2010
DISCK,Communication Services,8/7/2014
DISH,Communication Services,3/13/2017
DLR,Real Estate,5/18/2016
DLTR,Consumer Discretionary,12/19/2011
DOV,Industrials,10/31/1985
DOW,Materials,4/1/2019
DRE,Real Estate,7/26/2017
DRI,Consumer Discretionary,
DTE,Utilities,
DUK,Utilities,6/30/1976
DVA,Health Care,7/31/2008
DVN,Energy,8/30/2000
DXC,Information Technology,4/4/2017
EA,Communication Services,7/22/2002
EBAY,Consumer Discretionary,
ECL,Materials,1/31/1989
ED,Utilities,
EFX,Industrials,6/19/1997
EIX,Utilities,
EL,Consumer Staples,1/5/2006
EMN,Materials,1/1/1994
EMR,Industrials,3/31/1965
EOG,Energy,11/2/2000
EQIX,Real Estate,3/20/2015
EQR,Real Estate,12/3/2001
ES,Utilities,
ESS,Real Estate,4/2/2014
ETFC,Financials,3/31/2004
ETN,Industrials,
ETR,Utilities,
EVRG,Utilities,6/5/2018
EW,Health Care,4/1/2011
EXC,Utilities,
EXPD,Industrials,10/10/2007
EXPE,Consumer Discretionary,10/2/2007
EXR,Real Estate,1/19/2016
F,Consumer Discretionary,
FANG,Energy,12/3/2018
FAST,Industrials,9/15/2009
FB,Communication Services,12/23/2013
FBHS,Industrials,6/22/2016
FCX,Materials,
FDX,Industrials,12/31/1980
FE,Utilities,
FFIV,Information Technology,12/20/2010
FIS,Information Technology,11/10/2006
FISV,Information Technology,4/2/2001
FITB,Financials,
FLIR,Information Technology,1/2/2009
FLS,Industrials,10/2/2008
FLT,Information Technology,6/20/2018
FMC,Materials,8/19/2009
FOX,Communication Services,9/18/2015
FOXA,Communication Services,7/1/2013
FRC,Financials,1/2/2019
FRT,Real Estate,2/1/2016
FTI,Energy,6/5/2009
FTNT,Information Technology,10/11/2018
FTV,Industrials,7/1/2016
GD,Industrials,
GE,Industrials,
GILD,Health Care,7/1/2004
GIS,Consumer Staples,3/31/1969
GL,Financials,4/30/1989
GLW,Information Technology,
GM,Consumer Discretionary,6/6/2013
GOOG,Communication Services,4/3/2006
GOOGL,Communication Services,4/3/2014
GPC,Consumer Discretionary,12/31/1973
GPN,Information Technology,4/25/2016
GPS,Consumer Discretionary,8/31/1986
GRMN,Consumer Discretionary,12/12/2012
GS,Financials,7/22/2002
GWW,Industrials,6/30/1981
HAL,Energy,
HAS,Consumer Discretionary,9/30/1984
HBAN,Financials,
HBI,Consumer Discretionary,3/20/2015
HCA,Health Care,1/27/2015
HD,Consumer Discretionary,3/31/1988
HES,Energy,5/31/1984
HFC,Energy,6/18/2018
HIG,Financials,
HII,Industrials,1/3/2018
HLT,Consumer Discretionary,6/19/2017
HOG,Consumer Discretionary,
HOLX,Health Care,3/30/2016
HON,Industrials,3/31/1964
HP,Energy,3/1/2010
HPE,Information Technology,11/2/2015
HPQ,Information Technology,12/31/1974
HRB,Consumer Discretionary,11/30/1986
HRL,Consumer Staples,3/4/2009
HSIC,Health Care,3/17/2015
HST,Real Estate,3/20/2007
HSY,Consumer Staples,
HUM,Health Care,
IBM,Information Technology,
ICE,Financials,9/26/2007
IDXX,Health Care,1/5/2017
IEX,Industrials,8/9/2019
IFF,Materials,3/31/1976
ILMN,Health Care,11/19/2015
INCY,Health Care,2/28/2017
INFO,Industrials,6/2/2017
INTC,Information Technology,12/31/1976
INTU,Information Technology,12/5/2000
IP,Materials,
IPG,Communication Services,10/1/1992
IPGP,Information Technology,3/7/2018
IQV,Health Care,8/29/2017
IR,Industrials,11/17/2010
IRM,Real Estate,1/6/2009
ISRG,Health Care,6/2/2008
IT,Information Technology,4/5/2017
ITW,Industrials,2/28/1986
IVZ,Financials,8/21/2008
J,Industrials,10/26/2007
JBHT,Industrials,7/1/2015
JCI,Industrials,8/27/2010
JKHY,Information Technology,11/13/2018
JNJ,Health Care,6/30/1973
JNPR,Information Technology,
JPM,Financials,6/30/1975
JWN,Consumer Discretionary,8/31/1986
K,Consumer Staples,
KEY,Financials,3/1/1994
KEYS,Information Technology,11/6/2018
KHC,Consumer Staples,7/6/2015
KIM,Real Estate,4/4/2006
KLAC,Information Technology,
KMB,Consumer Staples,
KMI,Energy,5/25/2012
KMX,Consumer Discretionary,6/28/2010
KO,Consumer Staples,
KR,Consumer Staples,
KSS,Consumer Discretionary,
KSU,Industrials,5/24/2013
L,Financials,
LB,Consumer Discretionary,9/30/1983
LDOS,Information Technology,8/9/2019
LEG,Consumer Discretionary,
LEN,Consumer Discretionary,10/4/2005
LH,Health Care,11/1/2004
LHX,Industrials,
LIN,Materials,7/1/1992
LKQ,Consumer Discretionary,5/23/2016
LLY,Health Care,12/31/1970
LMT,Industrials,7/31/1984
LNC,Financials,6/30/1976
LNT,Utilities,7/1/2016
LOW,Consumer Discretionary,2/29/1984
LRCX,Information Technology,6/29/2012
LUV,Industrials,7/1/1994
LVS,Consumer Discretionary,10/3/2019
LW,Consumer Staples,12/3/2018
LYB,Materials,9/5/2012
LYV,Communication Services,12/23/2019
M,Consumer Discretionary,
MA,Information Technology,7/18/2008
MAA,Real Estate,12/2/2016
MAR,Consumer Discretionary,
MAS,Industrials,6/30/1981
MCD,Consumer Discretionary,6/30/1970
MCHP,Information Technology,9/7/2007
MCK,Health Care,
MCO,Financials,
MDLZ,Consumer Staples,10/2/2012
MDT,Health Care,10/31/1986
MET,Financials,
MGM,Consumer Discretionary,7/26/2017
MHK,Consumer Discretionary,12/23/2013
MKC,Consumer Staples,
MKTX,Financials,7/1/2019
MLM,Materials,7/2/2014
MMC,Financials,8/31/1987
MMM,Industrials,1/1/1900
MNST,Consumer Staples,6/28/2012
MO,Consumer Staples,
MOS,Materials,9/26/2011
MPC,Energy,7/1/2011
MRK,Health Care,
MRO,Energy,5/1/1991
MS,Financials,
MSCI,Financials,4/4/2018
MSFT,Information Technology,6/1/1994
MSI,Information Technology,
MTB,Financials,
MTD,Health Care,9/6/2016
MU,Information Technology,9/27/1994
MXIM,Information Technology,12/3/2018
MYL,Health Care,4/23/2004
NBL,Energy,10/8/2007
NCLH,Consumer Discretionary,10/13/2017
NDAQ,Financials,10/22/2008
NEE,Utilities,6/30/1976
NEM,Materials,6/30/1969
NFLX,Communication Services,12/20/2010
NI,Utilities,
NKE,Consumer Discretionary,11/30/1988
NLOK,Information Technology,3/25/2003
NLSN,Industrials,7/9/2013
NOC,Industrials,6/30/1985
NOV,Energy,3/14/2005
NOW,Information Technology,11/21/2019
NRG,Utilities,1/29/2010
NSC,Industrials,
NTAP,Information Technology,6/25/1999
NTRS,Financials,
NUE,Materials,4/30/1985
NVDA,Information Technology,11/30/2001
NVR,Consumer Discretionary,9/26/2019
NWL,Consumer Discretionary,4/30/1989
NWS,Communication Services,9/18/2015
NWSA,Communication Services,8/1/2013
O,Real Estate,4/7/2015
ODFL,Industrials,12/9/2019
OKE,Energy,3/15/2010
OMC,Communication Services,
ORCL,Information Technology,8/31/1989
ORLY,Consumer Discretionary,3/27/2009
OXY,Energy,12/31/1982
PAYX,Information Technology,
PBCT,Financials,11/13/2008
PCAR,Industrials,12/31/1980
PEAK,Real Estate,3/31/2008
PEG,Utilities,
PEP,Consumer Staples,
PFE,Health Care,
PFG,Financials,7/22/2002
PG,Consumer Staples,
PGR,Financials,8/4/1997
PH,Industrials,11/30/1985
PHM,Consumer Discretionary,4/30/1984
PKG,Materials,7/26/2017
PKI,Health Care,5/31/1985
PLD,Real Estate,7/17/2003
PM,Consumer Staples,3/31/2008
PNC,Financials,4/30/1988
PNR,Industrials,10/1/2012
PNW,Utilities,
PPG,Materials,
PPL,Utilities,
PRGO,Health Care,12/19/2011
PRU,Financials,7/22/2002
PSA,Real Estate,8/19/2005
PSX,Energy,5/1/2012
PVH,Consumer Discretionary,2/15/2013
PWR,Industrials,7/1/2009
PXD,Energy,9/24/2008
PYPL,Information Technology,7/20/2015
QCOM,Information Technology,
QRVO,Information Technology,6/11/2015
RCL,Consumer Discretionary,12/5/2014
RE,Financials,6/19/2017
REG,Real Estate,3/2/2017
REGN,Health Care,5/1/2013
RF,Financials,8/28/1998
RHI,Industrials,12/5/2000
RJF,Financials,3/20/2017
RL,Consumer Discretionary,2/2/2007
RMD,Health Care,7/26/2017
ROK,Industrials,
ROL,Industrials,10/1/2018
ROP,Industrials,12/23/2009
ROST,Consumer Discretionary,12/21/2009
RSG,Industrials,12/5/2008
RTN,Industrials,
SBAC,Real Estate,9/1/2017
SBUX,Consumer Discretionary,
SCHW,Financials,6/2/1997
SEE,Materials,
SHW,Materials,6/30/1964
SIVB,Financials,3/19/2018
SJM,Consumer Staples,11/6/2008
SLB,Energy,3/31/1965
SLG,Real Estate,3/20/2015
SNA,Industrials,9/30/1982
SNPS,Information Technology,3/16/2017
SO,Utilities,
SPG,Real Estate,6/26/2002
SPGI,Financials,
SRE,Utilities,
STE,Health Care,12/23/2019
STT,Financials,
STX,Information Technology,7/2/2012
STZ,Consumer Staples,7/1/2005
SWK,Industrials,9/30/1982
SWKS,Information Technology,3/12/2015
SYF,Financials,11/18/2015
SYK,Health Care,12/12/2000
SYY,Consumer Staples,12/31/1986
T,Communication Services,11/30/1983
TAP,Consumer Staples,6/30/1976
TDG,Industrials,6/3/2016
TEL,Information Technology,10/17/2011
TFC,Financials,12/4/1997
TFX,Health Care,1/18/2019
TGT,Consumer Discretionary,12/31/1976
TIF,Consumer Discretionary,6/21/2000
TJX,Consumer Discretionary,9/30/1985
TMO,Health Care,
TMUS,Communication Services,7/15/2019
TPR,Consumer Discretionary,
TROW,Financials,
TRV,Financials,8/21/2002
TSCO,Consumer Discretionary,1/24/2014
TSN,Consumer Staples,
TTWO,Communication Services,3/19/2018
TWTR,Communication Services,6/7/2018
TXN,Information Technology,
TXT,Industrials,12/31/1978
UA,Consumer Discretionary,5/1/2014
UAA,Consumer Discretionary,3/25/2016
UAL,Industrials,9/3/2015
UDR,Real Estate,3/7/2016
UHS,Health Care,9/20/2014
ULTA,Consumer Discretionary,4/18/2016
UNH,Health Care,7/1/1994
UNM,Financials,3/1/1994
UNP,Industrials,
UPS,Industrials,7/22/2002
URI,Industrials,9/20/2014
USB,Financials,
UTX,Industrials,
V,Information Technology,12/21/2009
VAR,Health Care,2/12/2007
VFC,Consumer Discretionary,6/30/1979
VIAC,Communication Services,
VLO,Energy,
VMC,Materials,6/30/1999
VNO,Real Estate,
VRSK,Industrials,10/8/2015
VRSN,Information Technology,2/1/2006
VRTX,Health Care,9/23/2013
VTR,Real Estate,3/4/2009
VZ,Communication Services,11/30/1983
WAB,Industrials,2/27/2019
WAT,Health Care,
WBA,Consumer Staples,12/31/1979
WCG,Health Care,1985
WDC,Information Technology,7/1/2009
WEC,Utilities,10/31/2008
WELL,Real Estate,1/30/2009
WFC,Financials,6/30/1976
WHR,Consumer Discretionary,
WLTW,Financials,1/5/2016
WM,Industrials,
WMB,Energy,3/31/1975
WMT,Consumer Staples,8/31/1982
WRB,Financials,12/5/2019
WRK,Materials,
WU,Information Technology,
WY,Real Estate,
WYNN,Consumer Discretionary,11/14/2008
XEC,Energy,6/21/2014
XEL,Utilities,
XLNX,Information Technology,11/8/1999
XOM,Energy,
XRAY,Health Care,11/14/2008
XRX,Information Technology,
XYL,Industrials,11/1/2011
YUM,Consumer Discretionary,10/6/1997
ZBH,Health Care,8/7/2001
ZBRA,Information Technology,12/23/2019
ZION,Financials,6/22/2001
ZTS,Health Care,6/21/2013
